,wind_speed,wind_direction,visibility,cloud_height,temprature,dew_point,pressure,week_of_year,day_cos,day_sin,month_cos,month_sin,cloud_BKN,cloud_FEW,cloud_NSC,cloud_SCT,weather_BR,weather_DZ,weather_FG,weather_FU,weather_HZ,weather_NSW,weather_PO,weather_RA
0,0,0,3000,50,28,13,1010,11,1.0,0.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
1,4,210,2500,50,28,12,1010,11,0.9659258262890684,0.2588190451025207,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
2,4,230,2500,50,28,10,1010,11,0.9659258262890684,0.2588190451025207,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
3,4,210,2500,50,28,10,1011,11,0.8660254037844387,0.4999999999999999,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
4,4,180,2500,50,30,10,1011,11,0.8660254037844387,0.4999999999999999,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
5,4,190,2500,50,30,11,1011,11,0.7071067811865476,0.7071067811865475,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
6,4,190,2500,50,31,10,1012,11,0.7071067811865476,0.7071067811865475,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
7,5,120,2500,50,34,7,1012,11,0.5000000000000001,0.8660254037844386,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
8,6,110,2500,50,35,6,1012,11,0.5000000000000001,0.8660254037844386,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
9,9,110,2500,50,36,4,1012,11,0.2588190451025209,0.9659258262890682,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
10,6,60,3000,50,36,2,1012,11,0.2588190451025209,0.9659258262890682,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
11,5,90,3000,50,37,3,1012,11,6.123233995736766e-17,1.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
12,3,30,3500,50,37,2,1011,11,6.123233995736766e-17,1.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
13,7,60,3500,50,38,9,1010,11,-0.2588190451025206,0.9659258262890684,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
14,7,60,3500,50,39,4,1010,11,-0.2588190451025206,0.9659258262890684,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
15,8,280,3500,50,38,4,1009,11,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
16,9,220,3500,50,39,6,1008,11,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
17,10,240,4000,50,39,7,1008,11,-0.7071067811865475,0.7071067811865476,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
18,11,270,4000,50,38,3,1007,11,-0.7071067811865475,0.7071067811865476,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
19,11,280,4000,50,39,2,1007,11,-0.8660254037844385,0.5000000000000003,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
20,10,280,4000,50,38,5,1007,11,-0.8660254037844385,0.5000000000000003,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
21,13,290,4000,50,37,6,1007,11,-0.9659258262890682,0.258819045102521,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
22,10,300,4000,50,37,5,1007,11,-0.9659258262890682,0.258819045102521,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
23,9,320,5000,50,36,4,1008,11,-1.0,1.2246467991473532e-16,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
24,9,310,5000,50,36,5,1008,11,-1.0,1.2246467991473532e-16,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
25,8,320,5000,50,35,7,1008,11,-0.9659258262890684,-0.2588190451025203,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
26,7,310,4000,50,34,7,1008,11,-0.9659258262890684,-0.2588190451025203,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
27,8,330,4000,50,33,9,1009,11,-0.8660254037844388,-0.4999999999999997,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
28,7,320,4000,50,33,11,1009,11,-0.8660254037844388,-0.4999999999999997,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
29,5,350,3000,50,33,12,1009,11,-0.7071067811865479,-0.7071067811865471,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
30,4,60,3000,50,32,14,1010,11,-0.7071067811865479,-0.7071067811865471,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
31,7,20,3000,50,32,14,1010,11,-0.5000000000000004,-0.8660254037844384,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
32,5,10,3000,50,32,12,1010,11,-0.5000000000000004,-0.8660254037844384,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
33,3,350,3000,50,33,9,1010,11,-0.2588190451025215,-0.965925826289068,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
34,5,20,3000,50,33,8,1010,11,-0.2588190451025215,-0.965925826289068,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
35,4,340,3000,50,33,7,1010,11,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
36,0,0,3000,50,32,8,1010,11,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
37,4,150,3000,50,32,9,1010,11,0.2588190451025203,-0.9659258262890684,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
38,0,0,3000,50,30,11,1010,11,0.2588190451025203,-0.9659258262890684,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
39,0,0,3000,50,31,10,1009,11,0.4999999999999993,-0.866025403784439,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
40,9,270,3000,50,29,11,1009,11,0.4999999999999993,-0.866025403784439,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
41,3,310,3000,50,28,18,1009,11,0.7071067811865474,-0.7071067811865477,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
42,0,0,3000,50,29,16,1009,11,0.7071067811865474,-0.7071067811865477,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
43,3,350,3000,50,29,16,1008,11,0.8660254037844384,-0.5000000000000004,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
44,3,330,3000,50,29,16,1008,11,0.8660254037844384,-0.5000000000000004,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
45,0,0,3000,50,28,16,1008,11,0.965925826289068,-0.2588190451025215,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
46,0,0,3000,50,28,16,1008,11,0.965925826289068,-0.2588190451025215,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
